Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Arsenal,29,54.0,38.0,24196,2929,8623,11508,5691,931,22390,428,711,60.2,455,34,16309,97513,55374,18851,16349,86.7,448,451
Aston Villa,28,43.9,38.0,19827,2772,7317,8474,5328,781,17902,368,584,63.0,404,25,11554,74823,39600,14087,11530,81.8,409,428
Bournemouth,27,43.8,38.0,20686,2739,7781,8690,5386,832,18878,360,646,55.7,395,28,12186,73851,38870,14685,11943,81.3,521,439
Brighton,25,52.2,38.0,24066,2881,8807,10577,6186,879,22325,361,599,60.3,380,21,15610,91761,47760,18478,15696,84.9,474,512
Burnley,22,41.4,38.0,18703,2366,6006,8777,4828,655,16885,271,473,57.3,293,18,9851,55596,27168,12820,9925,77.4,406,355
Chelsea,27,60.7,38.0,29171,2489,8842,14256,7901,1197,27383,466,718,64.9,498,15,20509,113142,61660,23597,20665,87.6,475,479
Crystal Palace,25,44.5,38.0,20796,2496,7340,9542,5126,903,18860,448,715,62.7,474,24,12388,72863,38676,14799,12142,82.0,509,556
Everton,24,49.2,38.0,21845,2703,7601,9939,5579,889,20006,392,635,61.7,429,31,13246,78961,41933,16042,13239,82.5,491,470
Leicester City,24,57.6,38.0,25867,2350,8090,12502,6789,998,24031,411,678,60.6,444,22,16888,93687,50976,20014,17329,86.6,468,477
Liverpool,24,63.4,38.0,29379,2183,7595,15110,8457,1318,27525,439,718,61.1,482,27,20118,105011,57196,24019,20887,87.0,477,427
Manchester City,24,66.9,38.0,31554,2222,7301,16365,10037,1626,30005,539,813,66.3,565,23,22892,127719,75476,26741,24266,90.7,332,397
Manchester Utd,29,56.2,38.0,25675,2324,7503,12600,7324,985,23880,475,780,60.9,506,39,17480,105443,60987,20059,17542,87.5,451,478
Newcastle Utd,28,38.6,38.0,18719,2508,7645,7774,4327,593,16999,427,656,65.1,457,18,10760,64348,34435,12986,10500,80.9,453,407
Norwich City,30,49.3,38.0,23022,3280,9340,9988,5141,731,21235,451,732,61.6,483,34,14491,86404,46882,17229,14610,84.8,479,466
Sheffield Utd,26,43.1,38.0,20790,2314,6373,8949,6476,819,19016,364,540,67.4,387,22,11990,64574,32575,15038,12052,80.1,418,372
Southampton,25,49.3,38.0,22029,2223,6618,10568,6047,894,20097,454,739,61.4,489,23,12531,73483,39041,15420,12481,80.9,514,431
Tottenham,29,52.2,38.0,24348,2661,7941,11816,6076,811,22572,467,804,58.1,510,33,15693,90220,49176,18554,15794,85.1,410,470
Watford,26,42.5,38.0,19956,2259,6462,9059,5460,876,18180,359,616,58.3,381,15,11590,64484,35258,14071,11207,79.6,447,411
West Ham,29,44.0,38.0,20825,2288,6477,9965,5580,823,19019,406,645,62.9,429,23,12519,76114,39304,15315,12388,80.9,399,408
Wolves,21,48.3,38.0,22382,2106,7297,10931,5458,840,20636,519,820,63.3,562,32,14114,82973,48573,16703,14072,84.2,445,454
