Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DFMF,Sunderland,25,1990,21,20,1784,3,1,0,0,2,0,0.15,0.05,0.20,0.15,0.20,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DFMF,Crystal Palace,25,1990,11,8,714,2,0,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
3,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,30,1985,24,17,1517,1,3,1,1,7,0,0.06,0.18,0.24,0.00,0.18,Matches
4,Albert Adomah\Albert-Adomah,gh GHA,MF,Middlesbrough,28,1987,2,1,122,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Adrián\Adrian,es ESP,GK,West Ham,29,1987,16,16,1440,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,30,1986,12,3,384,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Benik Afobe\Benik-Afobe,cd COD,FW,Bournemouth,23,1993,31,14,1461,6,3,0,1,1,0,0.37,0.18,0.55,0.37,0.55,Matches
8,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,28,1988,31,25,2403,20,4,4,5,4,1,0.75,0.15,0.90,0.60,0.75,Matches
9,Dan Agyei\Dan-Agyei,eng ENG,FW,Burnley,19,1997,3,0,25,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Ola Aina\Ola-Aina,ng NGA,DFMF,Chelsea,19,1996,3,0,26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Nathan Aké\Nathan-Ake,nl NED,DF,Chelsea,21,1995,2,1,99,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,21,1995,10,8,735,3,0,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches
13,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,26,1989,33,29,2411,2,6,0,0,5,0,0.07,0.22,0.30,0.07,0.30,Matches
14,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,27,1989,30,30,2601,1,0,0,0,1,0,0.03,0.00,0.03,0.03,0.03,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,MFDF,Liverpool,17,1998,7,2,167,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,26,1990,36,34,2930,6,2,0,0,9,0,0.18,0.06,0.25,0.18,0.25,Matches
17,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,20,1996,37,35,3034,18,7,1,1,4,0,0.53,0.21,0.74,0.50,0.71,Matches
18,Ryan Allsop\Ryan-Allsop,eng ENG,GK,Bournemouth,24,1992,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Marcos Alonso\Marcos-Alonso,es ESP,MF,Chelsea,25,1990,31,30,2693,6,3,0,0,2,0,0.20,0.10,0.30,0.20,0.30,Matches
20,Daniel Amartey\Daniel-Amartey,gh GHA,MF,Leicester City,21,1994,24,17,1673,1,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,Matches
21,Jordi Amat\Jordi-Amat,es ESP,DF,Swansea City,24,1992,17,15,1409,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Nordin Amrabat\Nordin-Amrabat,ma MAR,MFFW,Watford,29,1987,29,25,2091,0,3,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches
23,Victor Anichebe\Victor-Anichebe,ng NGA,FWMF,Sunderland,28,1988,18,14,1219,3,0,0,0,2,0,0.22,0.00,0.22,0.22,0.22,Matches
24,Michail Antonio\Michail-Antonio,eng ENG,MFFW,West Ham,26,1990,29,29,2434,9,3,0,0,5,2,0.33,0.11,0.44,0.33,0.44,Matches
25,Ikechi Anya\Ikechi-Anya,sco SCO,FWMF,Watford,28,1988,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
26,Álvaro Arbeloa\Alvaro-Arbeloa,es ESP,DF,West Ham,33,1983,3,1,258,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Scott Arfield\Scott-Arfield,ca CAN,MF,Burnley,27,1988,31,23,2102,1,1,0,0,3,0,0.04,0.04,0.09,0.04,0.09,Matches
28,Marko Arnautović\Marko-Arnautovic,at AUT,MFFW,Stoke City,27,1989,32,32,2714,6,5,0,1,9,1,0.20,0.17,0.36,0.20,0.36,Matches
29,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,26,1989,35,33,2957,1,3,0,1,12,2,0.03,0.09,0.12,0.03,0.12,Matches
30,Joel Asoro\Joel-Asoro,se SWE,FW,Sunderland,17,1999,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
31,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,27,1989,15,11,934,6,1,2,2,1,0,0.58,0.10,0.67,0.39,0.48,Matches
32,Daniel Ayala\Daniel-Ayala,es ESP,DF,Middlesbrough,25,1990,14,11,918,1,0,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
33,André Ayew\Andre-Ayew,gh GHA,MFFW,West Ham,26,1989,25,16,1438,6,3,0,0,1,0,0.38,0.19,0.56,0.38,0.56,Matches
34,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Swansea City,24,1991,14,9,866,1,2,0,0,1,0,0.10,0.21,0.31,0.10,0.31,Matches
35,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,26,1989,38,38,3420,1,4,0,0,4,0,0.03,0.11,0.13,0.03,0.13,Matches
36,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,22,1994,25,24,2058,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Leighton Baines\Leighton-Baines,eng ENG,DFMF,Everton,31,1984,32,32,2819,2,3,2,3,4,0,0.06,0.10,0.16,0.00,0.10,Matches
38,Patrick Bamford\Patrick-Bamford,eng ENG,FWMF,Burnley,22,1993,6,0,39,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Middlesbrough,22,1993,8,2,287,1,0,0,0,1,0,0.31,0.00,0.31,0.31,0.31,Matches
40,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Stoke City,31,1985,15,14,1168,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches
41,Ross Barkley\Ross-Barkley,eng ENG,MFFW,Everton,22,1993,36,32,2899,5,8,0,0,5,0,0.16,0.25,0.40,0.16,0.40,Matches
42,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,26,1989,28,20,1773,6,2,2,2,7,2,0.30,0.10,0.41,0.20,0.30,Matches
43,Antonio Barragán\Antonio-Barragan,es ESP,DF,Middlesbrough,29,1987,26,26,2193,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Modou Barrow\Modou-Barrow,gm GAM,MFFW,Swansea City,23,1992,18,12,1145,0,2,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
45,Gareth Barry\Gareth-Barry,eng ENG,MF,Everton,35,1981,33,23,2108,2,1,0,0,10,0,0.09,0.04,0.13,0.09,0.13,Matches
46,Joey Barton\Joey-Barton,eng ENG,MF,Burnley,33,1982,14,12,1105,1,0,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches
47,Borja Bastón\Borja-Baston,es ESP,FW,Swansea City,23,1992,18,4,561,1,0,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches
48,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,22,1993,20,1,254,5,1,0,0,0,0,1.77,0.35,2.13,1.77,2.13,Matches
49,Asmir Begović\Asmir-Begovic,ba BIH,GK,Chelsea,29,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Valon Behrami\Valon-Behrami,ch SUI,MF,Watford,31,1985,27,26,2030,0,2,0,0,7,0,0.00,0.09,0.09,0.00,0.09,Matches
51,Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,21,1995,33,27,2503,1,4,0,0,4,0,0.04,0.14,0.18,0.04,0.18,Matches
52,Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,29,1987,11,11,917,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
53,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,25,1990,36,36,3131,15,2,2,4,10,0,0.43,0.06,0.49,0.37,0.43,Matches
54,Jonathan Benteke\Jonathan-Benteke,be BEL,FW,Crystal Palace,21,1995,1,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Saido Berahino\Saido-Berahino,bi BDI,FW,West Brom,22,1993,4,3,243,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Saido Berahino\Saido-Berahino,bi BDI,FW,Stoke City,22,1993,13,8,720,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,25,1990,20,10,998,1,2,0,0,1,0,0.09,0.18,0.27,0.09,0.27,Matches
58,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,26,1989,28,28,2507,2,3,0,0,3,0,0.07,0.11,0.18,0.07,0.18,Matches
59,Mame Biram Diouf\Mame-Biram-Diouf,sn SEN,MFFW,Stoke City,28,1987,27,15,1385,1,2,0,0,3,0,0.06,0.13,0.19,0.06,0.19,Matches
60,Daley Blind\Daley-Blind,nl NED,DF,Manchester Utd,26,1990,23,20,1830,1,2,0,0,2,0,0.05,0.10,0.15,0.05,0.15,Matches
61,Yannick Bolasie\Yannick-Bolasie,cd COD,MFFW,Everton,27,1989,13,12,1023,1,4,0,0,2,0,0.09,0.35,0.44,0.09,0.44,Matches
62,Yannick Bolasie\Yannick-Bolasie,cd COD,FWMF,Crystal Palace,27,1989,1,0,25,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
