Date,Home,Score,Away,Result,W,D,L,Pts,Poss,Gls,Ast,CrdY,CrdR,GlsPer90,AstPer90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,GA,GA90,SoTA,Saves,Save%,CS,CS%,Cmp%,KP,1/3,Prog,SCA,SCA90,PassLiveSCA,DribSCA,ShSCA,DefSCA,GCA,GCA90,PassLiveGCA,DribGCA,ShGCA,DefGCA,TklW,Blocks,Int,Err,Live,Miscon,MP_1_Home,Min_1_Home,MP_2_Home,Min_2_Home,Gls_2_Home,Ast_2_Home,GlsPer90_2_Home,AstPer90_2_Home,MP_3_Home,Min_3_Home,Gls_3_Home,Ast_3_Home,GlsPer90_3_Home,AstPer90_3_Home,MP_4_Home,Min_4_Home,Gls_4_Home,Ast_4_Home,GlsPer90_4_Home,AstPer90_4_Home,MP_5_Home,Min_5_Home,Gls_5_Home,Ast_5_Home,GlsPer90_5_Home,AstPer90_5_Home,MP_6_Home,Min_6_Home,Gls_6_Home,Ast_6_Home,GlsPer90_6_Home,AstPer90_6_Home,MP_7_Home,Min_7_Home,Gls_7_Home,Ast_7_Home,GlsPer90_7_Home,AstPer90_7_Home,MP_8_Home,Min_8_Home,Gls_8_Home,Ast_8_Home,GlsPer90_8_Home,AstPer90_8_Home,MP_9_Home,Min_9_Home,Gls_9_Home,Ast_9_Home,GlsPer90_9_Home,AstPer90_9_Home,MP_10_Home,Min_10_Home,Gls_10_Home,Ast_10_Home,GlsPer90_10_Home,AstPer90_10_Home,MP_11_Home,Min_11_Home,Gls_11_Home,Ast_11_Home,GlsPer90_11_Home,AstPer90_11_Home,MP_1_Away,Min_1_Away,MP_2_Away,Min_2_Away,Gls_2_Away,Ast_2_Away,GlsPer90_2_Away,AstPer90_2_Away,MP_3_Away,Min_3_Away,Gls_3_Away,Ast_3_Away,GlsPer90_3_Away,AstPer90_3_Away,MP_4_Away,Min_4_Away,Gls_4_Away,Ast_4_Away,GlsPer90_4_Away,AstPer90_4_Away,MP_5_Away,Min_5_Away,Gls_5_Away,Ast_5_Away,GlsPer90_5_Away,AstPer90_5_Away,MP_6_Away,Min_6_Away,Gls_6_Away,Ast_6_Away,GlsPer90_6_Away,AstPer90_6_Away,MP_7_Away,Min_7_Away,Gls_7_Away,Ast_7_Away,GlsPer90_7_Away,AstPer90_7_Away,MP_8_Away,Min_8_Away,Gls_8_Away,Ast_8_Away,GlsPer90_8_Away,AstPer90_8_Away,MP_9_Away,Min_9_Away,Gls_9_Away,Ast_9_Away,GlsPer90_9_Away,AstPer90_9_Away,MP_10_Away,Min_10_Away,Gls_10_Away,Ast_10_Away,GlsPer90_10_Away,AstPer90_10_Away,MP_11_Away,Min_11_Away,Gls_11_Away,Ast_11_Away,GlsPer90_11_Away,AstPer90_11_Away
2016-08-13,Hull City,2 - 1,Leicester City,W,-3.000,-1.000,4.000,-10.000,4.000,-10.000,-8.000,0.000,0.000,-0.260,-0.210,-39.000,-19.000,-1.500,-1.030,-0.500,-0.020,-0.030,17.000,0.450,24.000,7.000,-0.006,-4.000,-10.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22,1980,33,2736,1,2,0.03,0.07,26,2135,0,2,0.00,0.08,33,2524,0,2,0.00,0.07,20,962,1,1,0.09,0.09,31,2026,1,0,0.04,0.00,37,3185,3,1,0.08,0.03,24,1425,4,3,0.25,0.19,20,1710,7,2,0.37,0.11,22,1171,2,0,0.15,0.00,30,2666,4,327,0,0,0.00,0.00,27,2430,1,0,0.04,0.00,35,2988,0,1,0.00,0.03,36,3103,2,3,0.06,0.09,16,1301,0,0,0.00,0.00,29,2466,1,2,0.04,0.07,21,761,2,1,0.24,0.12,23,1446,1,0,0.06,0.00,30,1049,1,3,0.09,0.26,36,2825,6,4,0.19,0.13,35,2802,13,4,0.42,0.13
2016-08-13,Everton,1 - 1,Tottenham,D,-9.000,2.000,7.000,-25.000,-8.400,-26.000,-14.000,0.000,1.000,-0.680,-0.370,-170.000,-65.000,0.000,-4.470,-1.710,0.000,-0.010,18.000,0.480,38.000,20.000,-0.059,-4.000,-10.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19,1683,32,2819,2,3,0.06,0.10,27,2250,3,2,0.12,0.08,23,1543,0,1,0.00,0.06,18,1372,0,1,0.00,0.07,36,2899,5,8,0.16,0.25,12,613,1,1,0.15,0.15,33,2681,1,1,0.03,0.03,33,2108,2,1,0.09,0.04,11,460,0,0,0.00,0.00,35,2074,4,7,0.17,0.30,34,3004,33,2701,0,5,0.00,0.17,18,1530,2,2,0.12,0.12,30,2601,1,0,0.03,0.00,33,2894,0,0,0.00,0.00,36,3043,2,1,0.06,0.03,9,594,1,3,0.15,0.45,36,3012,4,1,0.12,0.03,37,3034,18,7,0.53,0.21,36,3157,8,15,0.23,0.43,30,2521,29,5,1.04,0.18
2016-08-13,Burnley,0 - 1,Swansea City,L,-1.000,2.000,-1.000,-1.000,-7.600,-6.000,-7.000,0.000,1.000,-0.150,-0.190,-15.000,-24.000,-4.800,-0.400,-0.640,-0.010,-0.020,-15.000,-0.390,29.000,44.000,0.113,2.000,5.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35,3150,36,3240,0,2,0.00,0.06,35,3150,2,1,0.06,0.03,34,3015,1,0,0.03,0.00,37,3230,1,1,0.03,0.03,21,1764,1,2,0.05,0.10,1,86,0,0,0.00,0.00,36,2836,2,1,0.06,0.03,31,2102,1,1,0.04,0.04,32,2259,9,3,0.36,0.12,37,2064,10,3,0.44,0.13,37,3330,17,1409,0,0,0.00,0.00,31,2714,1,0,0.03,0.00,27,2430,0,2,0.00,0.07,13,1036,0,1,0.00,0.09,16,1163,0,0,0.00,0.00,34,2404,6,2,0.22,0.07,18,1145,0,2,0.00,0.16,30,2232,0,0,0.00,0.00,33,2442,15,1,0.55,0.04,27,1922,3,1,0.14,0.05
2016-08-13,Crystal Palace,0 - 1,West Brom,L,0.000,-4.000,4.000,-4.000,8.100,5.000,-1.000,0.000,0.000,0.130,-0.030,42.000,13.000,0.000,1.110,0.350,-0.010,-0.020,12.000,0.320,16.000,4.000,-0.047,1.000,2.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29,2610,38,3417,0,1,0.00,0.03,23,1797,3,1,0.15,0.05,3,269,0,0,0.00,0.00,30,2014,0,2,0.00,0.09,36,2519,3,4,0.11,0.14,35,3019,7,8,0.21,0.24,15,471,0,0,0.00,0.00,1,90,0,0,0.00,0.00,36,3091,0,5,0.00,0.15,8,412,2,0,0.44,0.00,38,3420,7,590,0,0,0.00,0.00,31,2637,2,2,0.07,0.07,36,3140,6,1,0.17,0.03,37,3276,4,0,0.11,0.00,33,2418,0,0,0.00,0.00,9,218,0,1,0.00,0.41,27,2181,4,8,0.17,0.33,38,3231,2,3,0.06,0.08,38,2891,8,2,0.25,0.06,13,720,0,0,0.00,0.00
2016-08-13,Southampton,1 - 1,Watford,D,1.000,3.000,-4.000,6.000,8.300,0.000,0.000,0.000,-2.000,0.000,0.000,125.000,36.000,-1.100,3.290,0.950,-0.010,-0.050,-20.000,-0.530,-57.000,-37.000,0.025,7.000,18.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38,3420,30,2515,0,3,0.00,0.11,23,2070,1,0,0.04,0.00,21,1853,1,0,0.05,0.00,5,373,0,0,0.00,0.00,32,2643,0,3,0.00,0.10,35,3071,1,0,0.03,0.00,30,1883,4,4,0.19,0.19,32,1321,3,2,0.20,0.14,33,2411,3,5,0.11,0.19,37,2899,7,1,0.22,0.03,38,3337,27,2282,1,2,0.04,0.08,33,2769,1,1,0.03,0.03,15,1162,0,1,0.00,0.08,33,2905,2,4,0.06,0.12,29,2091,0,3,0.00,0.13,27,2030,0,2,0.00,0.09,12,721,0,0,0.00,0.00,37,3203,7,1,0.20,0.03,37,2944,10,4,0.31,0.12,18,1291,1,0,0.07,0.00
2016-08-13,Middlesbrough,1 - 1,Stoke City,D,-6.000,2.000,4.000,-16.000,1.000,-11.000,-2.000,0.000,0.000,-0.290,-0.050,-77.000,-37.000,-3.600,-2.030,-0.970,-0.010,0.000,-3.000,-0.080,-9.000,-6.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28,2520,24,1964,0,2,0.00,0.09,38,3420,1,1,0.03,0.03,26,2193,0,0,0.00,0.00,4,320,0,0,0.00,0.00,34,2804,0,2,0.00,0.06,33,2773,4,0,0.13,0.00,30,2214,1,3,0.04,0.12,24,1540,2,3,0.12,0.18,2,122,0,0,0.00,0.00,36,2870,9,5,0.28,0.16,5,450,15,1168,0,0,0.00,0.00,36,3151,0,1,0.00,0.03,35,3150,1,1,0.03,0.03,2,180,0,0,0.00,0.00,30,2275,0,1,0.00,0.04,32,2714,6,5,0.20,0.17,27,1385,1,2,0.06,0.13,12,796,0,0,0.00,0.00,21,1698,4,2,0.21,0.11,9,475,3,0,0.57,0.00
2016-08-13,Manchester City,2 - 1,Sunderland,W,17.000,3.000,-20.000,54.000,25.300,47.000,43.000,0.000,-3.000,1.230,1.130,245.000,93.000,2.600,6.450,2.450,0.050,0.130,-30.000,-0.790,-143.000,-113.000,-0.090,6.000,15.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17,1452,17,1346,0,1,0.00,0.07,29,2535,1,2,0.04,0.07,25,2123,1,0,0.04,0.00,27,2014,0,0,0.00,0.00,33,2508,7,8,0.25,0.29,19,778,4,2,0.46,0.23,36,2877,6,17,0.19,0.53,34,2759,4,7,0.13,0.23,32,2756,2,1,0.07,0.03,31,2403,20,4,0.75,0.15,9,810,11,714,2,0,0.25,0.00,22,1820,2,0,0.10,0.00,28,2158,0,1,0.00,0.04,12,611,0,1,0.00,0.15,30,2545,1,0,0.04,0.00,20,1492,0,1,0.00,0.06,14,1024,0,2,0.00,0.18,11,366,0,0,0.00,0.00,24,1741,2,0,0.10,0.00,37,3321,15,2,0.41,0.05
2016-08-14,Bournemouth,1 - 3,Manchester Utd,L,-6.000,-5.000,11.000,-23.000,-5.000,-1.000,-4.000,0.000,1.000,-0.030,-0.100,-137.000,-47.000,0.300,-3.610,-1.240,0.010,0.040,38.000,1.000,73.000,35.000,-0.128,-7.000,-18.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35,3150,34,2939,0,1,0.00,0.03,38,3420,2,0,0.05,0.00,34,3060,4,3,0.12,0.09,36,3079,1,5,0.03,0.15,22,1801,0,1,0.00,0.05,35,2957,1,3,0.03,0.09,36,2713,16,2,0.53,0.07,6,432,0,1,0.00,0.21,25,1055,0,0,0.00,0.00,20,1423,6,0,0.38,0.00,35,3150,25,2058,0,0,0.00,0.00,23,1830,1,2,0.05,0.10,11,688,0,1,0.00,0.13,28,2483,1,3,0.04,0.11,25,1614,6,3,0.33,0.17,25,1539,5,5,0.29,0.29,25,1554,4,5,0.23,0.29,31,2464,1,5,0.04,0.18,28,1605,1,0,0.06,0.00,28,2438,17,5,0.63,0.18
2016-08-14,Arsenal,3 - 4,Liverpool,L,1.000,-4.000,3.000,-1.000,-3.100,-4.000,3.000,0.000,0.000,-0.110,0.080,-71.000,-35.000,-1.500,-1.870,-0.920,0.010,0.040,2.000,0.050,53.000,51.000,0.138,1.000,2.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35,3097,9,810,0,0,0.00,0.00,36,3153,0,2,0.00,0.06,33,2503,1,4,0.04,0.14,23,1236,1,4,0.07,0.29,28,1916,10,2,0.47,0.09,26,1456,3,4,0.19,0.25,29,1779,0,0,0.00,0.00,14,694,0,1,0.00,0.13,38,3217,24,10,0.67,0.28,28,2520,24,2160,1,1,0.04,0.04,37,3323,0,2,0.00,0.05,29,2553,2,1,0.07,0.04,20,1410,0,0,0.00,0.00,12,305,0,0,0.00,0.00,36,2972,6,8,0.18,0.24,24,2116,1,4,0.04,0.17,31,2348,8,6,0.31,0.23,31,2227,13,8,0.53,0.32,35,3062,11,7,0.32,0.21,27,2235,13,5,0.52,0.20
2016-08-15,Chelsea,2 - 1,West Ham,W,18.000,-6.000,-12.000,48.000,8.000,37.000,25.000,0.000,-4.000,0.970,0.650,84.000,69.000,7.900,2.210,1.810,0.050,0.080,-31.000,-0.810,-77.000,-46.000,0.029,6.000,15.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36,3240,13,589,0,0,0.00,0.00,37,3296,6,0,0.16,0.00,9,496,1,0,0.18,0.00,38,3420,1,4,0.03,0.11,35,3138,1,1,0.03,0.03,9,455,0,1,0.00,0.20,35,2694,1,7,0.03,0.23,36,2982,16,5,0.48,0.15,35,3082,20,7,0.58,0.20,34,1534,8,2,0.47,0.12,16,1440,30,2587,2,1,0.07,0.03,16,957,0,1,0.00,0.09,22,1655,2,0,0.11,0.00,13,972,0,1,0.00,0.09,31,2722,1,0,0.03,0.00,30,2389,3,0,0.11,0.00,25,1438,6,3,0.38,0.19,29,2434,9,3,0.33,0.11,18,1311,7,1,0.48,0.07,3,211,0,0,0.00,0.00
