Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG
Arsenal,30,38.0,961,25.29,748,47,56,49,52,9,124,3.26,92,7,5,11,7,2,0
Bournemouth,22,38.0,705,18.55,511,71,45,28,37,13,72,1.89,47,7,5,5,7,1,0
Brighton,24,38.0,577,15.18,414,69,29,29,28,8,61,1.61,44,3,4,3,7,0,0
Burnley,24,38.0,563,14.82,365,83,27,41,41,6,57,1.50,38,4,2,11,1,1,0
Chelsea,26,38.0,1012,26.63,761,73,57,53,47,21,99,2.61,74,5,5,5,8,2,0
Crystal Palace,28,38.0,714,18.79,481,73,48,46,49,17,76,2.00,48,3,6,9,9,1,0
Everton,30,38.0,556,14.63,391,58,29,31,33,14,70,1.84,41,3,6,10,6,4,0
Huddersfield,25,38.0,519,13.66,377,39,27,24,33,19,45,1.18,32,3,3,3,3,1,0
Leicester City,27,38.0,605,15.92,431,59,38,35,34,8,91,2.39,69,6,3,4,8,1,0
Liverpool,27,38.0,1034,27.21,783,63,69,54,46,19,132,3.47,96,5,16,7,5,3,0
Manchester City,25,38.0,1104,29.05,862,68,53,45,57,18,188,4.95,149,7,10,7,11,3,1
Manchester Utd,27,38.0,832,21.89,640,47,52,40,41,12,115,3.03,82,6,8,11,8,0,0
Newcastle Utd,27,38.0,675,17.76,486,54,39,39,32,25,58,1.53,38,6,4,9,1,0,0
Southampton,26,38.0,695,18.29,522,61,47,26,28,11,65,1.71,45,5,4,5,6,0,0
Stoke City,30,38.0,599,15.76,423,57,29,39,33,18,62,1.63,38,8,3,6,5,2,0
Swansea City,26,38.0,465,12.24,321,47,34,28,27,8,33,0.87,19,5,1,6,1,1,0
Tottenham,25,38.0,984,25.89,739,68,48,54,53,21,113,2.97,78,9,6,11,7,1,1
Watford,29,38.0,668,17.58,470,60,46,44,32,16,63,1.66,38,6,5,8,5,1,0
West Brom,24,38.0,585,15.39,408,65,28,31,37,16,47,1.24,32,5,2,5,3,0,0
West Ham,27,38.0,573,15.08,406,59,36,18,47,7,71,1.87,47,3,5,9,6,1,0
