Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arsenal,29,31.0,419,262,197,168,54,150,431,34.8,281,3741,1081,28.9,1226,1537,978,474,114,1,360,260,679,657,6
Aston Villa,21,30.0,468,281,214,187,67,174,466,37.3,292,4079,1128,27.7,1376,1737,966,469,134,1,335,277,745,734,11
Brighton,26,31.0,557,343,285,208,64,181,479,37.8,298,4041,1332,33.0,1371,1692,978,469,93,2,376,292,849,557,3
Burnley,24,31.0,463,259,218,173,72,173,451,38.4,278,3760,1017,27.0,1092,1689,979,532,151,5,381,293,756,804,7
Chelsea,27,31.0,570,341,257,238,75,173,476,36.3,303,4257,1354,31.8,1346,1878,1033,473,79,1,394,351,921,670,8
Crystal Palace,22,31.0,553,308,301,192,60,200,532,37.6,332,4530,1186,26.2,1842,1897,791,535,123,2,412,352,905,706,10
Everton,29,30.0,519,325,288,175,56,181,513,35.3,332,4144,1208,29.2,1680,1674,790,547,138,1,409,306,825,696,8
Fulham,26,32.0,549,335,258,214,77,163,456,35.7,293,4196,1249,29.8,1423,1765,1008,488,91,1,397,398,947,925,6
Leeds United,22,31.0,660,396,349,236,75,206,622,33.1,416,5231,1598,30.5,1810,2281,1140,478,134,2,344,363,1023,622,8
Leicester City,27,31.0,591,356,293,216,82,183,511,35.8,328,4137,1283,31.0,1506,1751,880,511,93,3,418,330,921,695,2
Liverpool,28,31.0,441,290,173,188,80,153,440,34.8,287,4054,1329,32.8,984,1759,1311,402,54,2,348,261,702,571,18
Manchester City,23,32.0,476,319,187,195,94,189,521,36.3,332,3689,1178,31.9,901,1655,1133,350,70,0,280,278,754,465,4
Manchester Utd,25,31.0,484,305,231,184,69,141,443,31.8,302,4011,1181,29.4,1206,1747,1058,526,111,0,415,338,822,646,3
Newcastle Utd,27,31.0,509,301,258,200,51,166,464,35.8,298,4382,1137,25.9,1637,1847,898,516,137,4,379,319,828,824,10
Sheffield Utd,25,31.0,546,312,288,202,56,196,564,34.8,368,4885,1234,25.3,1694,2063,1128,534,133,7,401,338,884,807,17
Southampton,29,31.0,640,374,309,259,72,240,604,39.7,364,4398,1393,31.7,1502,1911,985,496,84,1,412,338,978,695,10
Tottenham,24,31.0,563,332,298,201,64,210,562,37.4,352,4619,1256,27.2,1728,2012,879,464,130,2,334,290,853,871,5
West Brom,30,31.0,547,330,303,186,58,176,519,33.9,343,4428,1219,27.5,1731,1849,848,550,132,9,418,339,886,841,5
West Ham,24,31.0,459,277,260,161,38,160,495,32.3,335,3967,1079,27.2,1541,1711,715,493,108,2,385,338,797,805,8
Wolves,26,31.0,490,317,284,158,48,188,509,36.9,321,3966,1167,29.4,1639,1660,667,460,115,2,345,302,792,723,4
