Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,3,31,31,2787,31.0,35,1.13,115,84,70.4,13,6,12,9,29.0,2,1,1,0,50.0
Aston Villa,1,30,30,2700,30.0,33,1.10,139,107,78.4,13,5,12,14,46.7,4,3,1,0,25.0
Brighton,2,31,31,2790,31.0,38,1.23,92,62,65.2,7,12,12,10,32.3,7,6,0,1,0.0
Burnley,2,31,31,2790,31.0,42,1.35,149,110,73.8,8,9,14,9,29.0,3,3,0,0,0.0
Chelsea,3,31,31,2790,31.0,31,1.00,86,57,66.3,15,9,7,15,48.4,2,2,0,0,0.0
Crystal Palace,1,31,31,2790,31.0,52,1.68,146,95,66.4,10,8,13,7,22.6,4,3,1,0,25.0
Everton,3,30,30,2700,30.0,38,1.27,127,90,72.4,14,6,10,8,26.7,4,3,0,1,0.0
Fulham,2,32,32,2880,32.0,42,1.31,134,98,73.1,5,11,16,9,28.1,6,6,0,0,0.0
Leeds United,2,31,31,2790,31.0,49,1.58,157,116,73.2,14,3,14,9,29.0,8,7,1,0,12.5
Leicester City,1,31,31,2790,31.0,37,1.19,113,76,69.0,17,5,9,10,32.3,2,2,0,0,0.0
Liverpool,3,31,31,2790,31.0,37,1.19,111,77,70.3,15,7,9,9,29.0,8,4,1,3,20.0
Manchester City,2,32,32,2880,32.0,23,0.72,66,50,75.8,23,5,4,17,53.1,7,7,0,0,0.0
Manchester Utd,2,31,31,2790,31.0,34,1.10,105,76,71.4,18,9,4,12,38.7,4,4,0,0,0.0
Newcastle Utd,2,31,31,2790,31.0,51,1.65,145,99,66.9,8,8,15,5,16.1,4,3,1,0,25.0
Sheffield Utd,1,31,31,2790,31.0,55,1.77,165,114,68.5,4,2,25,2,6.5,4,3,0,1,0.0
Southampton,2,31,31,2790,31.0,56,1.81,132,83,62.9,10,6,15,9,29.0,7,7,0,0,0.0
Tottenham,1,31,31,2790,31.0,35,1.13,114,87,75.4,14,7,10,10,32.3,7,7,0,0,0.0
West Brom,2,31,31,2790,31.0,59,1.90,178,124,69.7,5,9,17,6,19.4,9,5,2,2,28.6
West Ham,2,31,31,2790,31.0,39,1.26,116,81,68.1,16,7,8,10,32.3,5,2,2,1,50.0
Wolves,2,31,31,2790,31.0,41,1.32,111,77,68.5,10,8,13,9,29.0,7,6,1,0,14.3
