Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,29,31.0,14162,17067,83.0,271894,74742,5619,6318,88.9,6430,7181,89.5,1906,3026,63.0,29,28.5,+0.5,254,1013,278,59,1085
Aston Villa,21,30.0,10066,13167,76.4,206557,74406,3841,4482,85.7,4289,5066,84.7,1715,3074,55.8,33,30.7,+2.3,314,863,274,65,980
Brighton,26,31.0,12595,15860,79.4,255366,79673,4637,5380,86.2,5781,6650,86.9,1993,3300,60.4,21,27.3,-6.3,289,903,316,82,1055
Burnley,24,31.0,8725,12317,70.8,181186,70740,3562,4214,84.5,3227,4072,79.2,1694,3451,49.1,13,20.8,-7.8,208,696,224,73,765
Chelsea,27,31.0,17756,20675,85.9,337507,95699,7243,7964,90.9,7952,8740,91.0,2278,3315,68.7,32,33.6,-1.6,361,1212,317,65,1283
Crystal Palace,22,31.0,9688,12727,76.1,181754,69340,4288,5005,85.7,3844,4607,83.4,1317,2530,52.1,23,16.3,+6.7,191,643,199,47,824
Everton,29,30.0,11851,14750,80.3,240804,78477,4477,5120,87.4,5234,5964,87.8,1911,3080,62.0,28,25.9,+2.1,223,781,203,51,853
Fulham,26,32.0,12708,15817,80.3,254659,82589,4762,5411,88.0,5730,6526,87.8,1975,3272,60.4,16,24.1,-8.1,291,842,267,88,968
Leeds United,22,31.0,13362,16699,80.0,264798,86319,5101,5838,87.4,6029,6903,87.3,2027,3325,61.0,36,34.6,+1.4,322,947,311,76,1190
Leicester City,27,31.0,13408,16551,81.0,254880,78254,5510,6268,87.9,5928,6739,88.0,1758,2966,59.3,35,25.9,+9.1,265,883,235,43,990
Liverpool,28,31.0,17983,21340,84.3,353034,102710,6930,7701,90.0,8207,9086,90.3,2581,3870,66.7,30,36.8,-6.8,334,1453,430,73,1579
Manchester City,23,32.0,19837,22525,88.1,372770,96561,8269,8965,92.2,8782,9522,92.2,2483,3363,73.8,42,43.3,-1.3,370,1552,377,40,1383
Manchester Utd,25,31.0,15186,18070,84.0,280366,84575,6702,7412,90.4,6364,7134,89.2,1861,2833,65.7,41,32.5,+8.5,328,1147,319,49,1254
Newcastle Utd,27,31.0,8683,11766,73.8,177378,63692,3538,4123,85.8,3466,4207,82.4,1515,2929,51.7,21,20.9,+0.1,222,592,186,65,643
Sheffield Utd,25,31.0,9751,12914,75.5,190190,67880,4268,4897,87.2,3834,4616,83.1,1449,2865,50.6,11,18.4,-7.4,198,797,222,46,826
Southampton,29,31.0,12158,15543,78.2,221379,72798,5355,6110,87.6,5268,6118,86.1,1304,2672,48.8,26,21.0,+5.0,223,739,223,31,884
Tottenham,24,31.0,12855,15902,80.8,246435,77425,5386,6088,88.5,5422,6246,86.8,1798,2998,60.0,43,29.5,+13.5,235,868,215,44,938
West Brom,30,31.0,8274,11486,72.0,165382,63351,3432,4022,85.3,3310,4156,79.6,1360,2843,47.8,17,16.1,+0.9,185,676,176,62,725
West Ham,24,31.0,9691,12810,75.7,195537,72254,3955,4634,85.3,3950,4774,82.7,1621,2904,55.8,38,29.1,+8.9,252,706,193,77,759
Wolves,26,31.0,12257,15043,81.5,245551,75999,4794,5345,89.7,5211,5971,87.3,2040,3150,64.8,18,22.0,-4.0,279,823,169,71,812
