Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Arsenal,29,52.6,31.0,20267,2169,6974,9500,5143,785,18969,245,449,54.6,263,21,13743,73151,41895,1591,428,150,258,298,16397,14162,86.4,1095
Aston Villa,21,48.6,30.0,16638,2070,5494,7107,4974,842,15158,329,490,67.1,344,14,9807,52093,27927,1139,342,175,343,346,12463,10066,80.8,1023
Brighton,26,51.7,31.0,19145,2132,6744,8309,5328,843,17756,271,437,62.0,290,13,12362,67613,35453,1359,425,111,351,335,15100,12595,83.4,1091
Burnley,24,41.6,31.0,15666,1896,4992,7428,4034,590,14282,199,323,61.6,213,16,8183,40345,19502,778,278,66,339,269,11387,8725,76.6,807
Chelsea,27,61.8,31.0,24242,2203,7579,11889,6314,888,22920,302,526,57.4,322,24,16149,80959,45776,1864,533,188,358,321,20133,17756,88.2,1310
Crystal Palace,22,40.9,31.0,16410,1912,5900,7596,3903,557,14976,300,509,58.9,320,18,9534,49211,25287,1031,339,104,340,447,11986,9688,80.8,840
Everton,29,47.3,30.0,18260,2292,6995,8429,3991,558,16989,276,477,57.9,294,27,11141,60429,32828,1066,310,94,339,372,14028,11851,84.5,872
Fulham,26,49.5,32.0,19852,2162,6825,9322,4953,682,18413,429,658,65.2,451,32,12491,65712,35221,1299,430,110,502,405,15113,12708,84.1,1005
Leeds United,22,58.3,31.0,20382,2481,7664,8841,5166,818,18927,257,447,57.5,281,31,12402,71469,40398,1374,422,130,424,327,15956,13362,83.7,1233
Leicester City,27,53.5,31.0,20208,2095,6998,9568,4831,675,18856,286,520,55.0,307,23,12941,63612,34302,1320,390,114,388,357,15816,13408,84.8,1024
Liverpool,28,63.1,31.0,24724,1733,6455,12502,7273,1076,23294,345,556,62.1,371,22,16936,81302,43906,1884,565,176,404,373,20618,17983,87.2,1614
Manchester City,23,64.1,32.0,25717,1757,5898,13955,7645,1160,24428,408,701,58.2,437,25,18655,100718,57974,2641,685,271,316,350,21963,19837,90.3,1418
Manchester Utd,25,55.8,31.0,21669,1910,6472,10118,6559,846,20311,330,561,58.8,357,29,14100,77207,43649,1827,579,143,335,375,17536,15186,86.6,1276
Newcastle Utd,27,39.1,31.0,15316,2093,5974,6340,3843,519,13854,274,458,59.8,296,14,8678,42868,21866,800,270,83,317,319,10976,8683,79.1,667
Sheffield Utd,25,41.2,31.0,16410,1964,5391,7050,4874,571,15058,237,408,58.1,262,21,9175,47702,25415,958,303,72,331,315,11974,9751,81.4,862
Southampton,29,53.1,31.0,19275,1957,6495,9547,4405,657,17814,295,508,58.1,314,12,11398,57418,30658,1247,393,109,383,360,14727,12158,82.6,917
Tottenham,24,50.5,31.0,19524,2201,6747,9756,4195,588,18124,320,519,61.7,340,25,12255,59825,31619,1250,381,102,307,367,15183,12855,84.7,973
West Brom,30,38.2,31.0,15197,2174,5618,6611,3685,518,13791,246,450,54.7,266,19,8074,41391,21060,800,226,89,363,340,10635,8274,77.8,763
West Ham,24,40.7,31.0,16161,1994,5588,7480,4082,650,14833,265,434,61.1,279,16,9411,52795,26883,1022,345,117,313,309,12015,9691,80.7,817
Wolves,26,48.3,31.0,18514,1902,6130,9120,4454,593,17121,417,639,65.3,448,22,11631,61624,34590,1456,429,141,366,324,14339,12257,85.5,856
