Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,29,26.8,52.6,31,341,2790,31.0,41,29,35,6,6,44,5,1.32,0.94,2.26,1.13,2.06,43.5,39.0,28.5,67.5,1.40,0.92,2.32,1.26,2.18
Aston Villa,21,25.9,48.6,30,330,2700,30.0,41,33,38,3,4,56,2,1.37,1.10,2.47,1.27,2.37,42.5,39.5,30.7,70.2,1.42,1.02,2.44,1.32,2.34
Brighton,26,26.5,51.7,31,341,2790,31.0,32,21,27,5,8,40,3,1.03,0.68,1.71,0.87,1.55,43.0,36.9,27.3,64.2,1.39,0.88,2.27,1.19,2.07
Burnley,24,29.1,41.6,31,341,2790,31.0,24,13,22,2,2,40,0,0.77,0.42,1.19,0.71,1.13,30.7,29.2,20.8,49.9,0.99,0.67,1.66,0.94,1.61
Chelsea,27,26.7,61.8,31,341,2790,31.0,48,32,41,7,9,38,2,1.55,1.03,2.58,1.32,2.35,50.9,44.0,33.6,77.6,1.64,1.08,2.72,1.42,2.50
Crystal Palace,22,29.9,40.9,31,341,2790,31.0,31,23,28,3,3,42,2,1.00,0.74,1.74,0.90,1.65,24.2,22.1,16.3,38.3,0.78,0.53,1.31,0.71,1.24
Everton,29,27.0,47.3,30,330,2700,30.0,40,28,37,3,3,50,2,1.33,0.93,2.27,1.23,2.17,36.7,34.5,25.9,60.4,1.22,0.86,2.08,1.15,2.01
Fulham,26,26.0,49.5,32,352,2880,32.0,23,16,21,2,5,56,3,0.72,0.50,1.22,0.66,1.16,35.4,32.4,24.1,56.6,1.11,0.75,1.86,1.01,1.77
Leeds United,22,26.7,58.3,31,341,2790,31.0,47,36,44,3,3,47,1,1.52,1.16,2.68,1.42,2.58,46.2,43.9,34.6,78.5,1.49,1.12,2.61,1.42,2.53
Leicester City,27,27.3,53.5,31,341,2790,31.0,51,35,43,8,10,55,0,1.65,1.13,2.77,1.39,2.52,45.2,37.6,25.9,63.5,1.46,0.84,2.29,1.21,2.05
Liverpool,28,27.6,63.1,31,341,2790,31.0,50,30,44,6,6,35,0,1.61,0.97,2.58,1.42,2.39,56.6,52.1,36.8,88.9,1.82,1.19,3.01,1.68,2.87
Manchester City,23,26.9,64.1,32,352,2880,32.0,66,42,61,5,8,36,0,2.06,1.31,3.38,1.91,3.22,62.8,56.7,43.3,100.0,1.96,1.35,3.31,1.77,3.13
Manchester Utd,25,26.5,55.8,31,341,2790,31.0,58,41,50,8,9,55,1,1.87,1.32,3.19,1.61,2.94,49.1,42.3,32.5,74.8,1.58,1.05,2.63,1.36,2.41
Newcastle Utd,27,27.8,39.1,31,341,2790,31.0,31,21,27,4,4,57,2,1.00,0.68,1.68,0.87,1.55,30.3,27.3,20.9,48.2,0.98,0.67,1.65,0.88,1.55
Sheffield Utd,25,27.3,41.2,31,341,2790,31.0,16,11,13,3,4,58,3,0.52,0.35,0.87,0.42,0.77,26.0,22.9,18.4,41.4,0.84,0.59,1.43,0.74,1.33
Southampton,29,27.5,53.1,31,341,2790,31.0,39,26,35,4,5,44,2,1.26,0.84,2.10,1.13,1.97,33.3,29.6,21.0,50.6,1.07,0.68,1.75,0.95,1.63
Tottenham,24,27.9,50.5,31,341,2790,31.0,51,43,47,4,4,47,2,1.65,1.39,3.03,1.52,2.90,42.4,39.4,29.5,69.0,1.37,0.95,2.32,1.27,2.22
West Brom,30,27.2,38.2,31,341,2790,31.0,27,17,24,3,3,40,4,0.87,0.55,1.42,0.77,1.32,25.6,23.3,16.1,39.4,0.83,0.52,1.34,0.75,1.27
West Ham,24,28.5,40.7,31,341,2790,31.0,49,38,48,1,2,43,1,1.58,1.23,2.81,1.55,2.77,42.6,40.9,29.1,70.0,1.37,0.94,2.31,1.32,2.26
Wolves,26,27.1,48.3,31,341,2790,31.0,29,18,25,4,4,45,1,0.94,0.58,1.52,0.81,1.39,32.9,29.9,22.0,51.9,1.06,0.71,1.77,0.96,1.67
